Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,PostId,TagId,Id,TagName,Count,ExcerptPostId,WikiPostId
"11227809","1","11227902","","2012-06-27 13:51:36","","24856","1528592","<p>Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data miraculously makes the code almost six times faster:</p>
<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;

    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        // Primary loop
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock() - start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; std::endl;
    std::cout &lt;&lt; &quot;sum = &quot; &lt;&lt; sum &lt;&lt; std::endl;
}
</code></pre>
<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in 11.54 seconds.</li>
<li>With the sorted data, the code runs in 1.93 seconds.</li>
</ul>
<hr />
<p>Initially, I thought this might be just a language or compiler anomaly, so I tried Java:</p>
<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;

        for (int i = 0; i &lt; 100000; ++i)
        {
            // Primary loop
            for (int c = 0; c &lt; arraySize; ++c)
            {
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(&quot;sum = &quot; + sum);
    }
}
</code></pre>
<p>With a similar but less extreme result.</p>
<hr />
<p>My first thought was that sorting brings the data into the <a href=""https://en.wikipedia.org/wiki/CPU_cache"" rel=""noreferrer"">cache</a>, but then I thought how silly that was because the array was just generated.</p>
<ul>
<li>What is going on?</li>
<li>Why is processing a sorted array faster than processing an unsorted array?</li>
</ul>
<p>The code is summing up some independent terms, so the order should not matter.</p>
","87234","","224132","","2020-07-16 03:35:56","2020-09-15 02:13:25","Why is processing a sorted array faster than processing an unsorted array?","<java><c++><performance><optimization><branch-prediction>","26","2","11113","","","CC BY-SA 4.0","11227809","17","17","java","1715860","3624966","3607018"
"6841333","1","6841479","","2011-07-27 08:15:58","","6935","667557","<p>If I run the following program, which parses two date strings referencing times 1 second apart and compares them:</p>
<pre><code>public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(&quot;yyyy-MM-dd HH:mm:ss&quot;);  
    String str3 = &quot;1927-12-31 23:54:07&quot;;  
    String str4 = &quot;1927-12-31 23:54:08&quot;;  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}
</code></pre>
<p><strong>The output is:</strong></p>
<pre><code>353
</code></pre>
<p>Why is <code>ld4-ld3</code>, not <code>1</code> (as I would expect from the one-second difference in the times), but <code>353</code>?</p>
<p>If I change the dates to times 1 second later:</p>
<pre><code>String str3 = &quot;1927-12-31 23:54:08&quot;;  
String str4 = &quot;1927-12-31 23:54:09&quot;;  
</code></pre>
<p>Then <code>ld4-ld3</code> will be <code>1</code>.</p>
<hr />
<p><strong>Java version:</strong></p>
<pre class=""lang-none prettyprint-override""><code>java version &quot;1.6.0_22&quot;
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)
</code></pre>
<pre class=""lang-java prettyprint-override""><code>Timezone(`TimeZone.getDefault()`):

sun.util.calendar.ZoneInfo[id=&quot;Asia/Shanghai&quot;,
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN
</code></pre>
","342235","","13602076","","2020-07-14 19:07:57","2020-07-14 19:07:57","Why is subtracting these two times (in 1927) giving a strange result?","<java><date><timezone>","10","5","1626","","","CC BY-SA 4.0","6841333","17","17","java","1715860","3624966","3607018"
"40480","1","","","2008-09-02 20:14:29","","6724","2024594","<p>I always thought Java uses <strong>pass-by-reference</strong>.</p>
<p>However, I've seen a couple of blog posts (for example, <a href=""http://javadude.com/articles/passbyvalue.htm"" rel=""noreferrer"">this blog</a>) that claim that it isn't (the blog post says that Java uses <strong>pass-by-value</strong>).</p>
<p>I don't think I understand the distinction they're making.</p>
<p>What is the explanation?</p>
","4315","","9622275","user4642421","2020-08-06 07:24:06","2020-09-16 15:00:21","Is Java ""pass-by-reference"" or ""pass-by-value""?","<java><methods><parameter-passing><pass-by-reference><pass-by-value>","81","1","3053","","2012-09-14 18:22:55","CC BY-SA 4.0","40480","17","17","java","1715860","3624966","3607018"
"309424","1","309448","","2008-11-21 16:47:40","","4156","2158738","<p>If you have a <code>java.io.InputStream</code> object, how should you process that object and produce a <code>String</code>?</p>

<hr>

<p>Suppose I have an <code>InputStream</code> that contains text data, and I want to convert it to a <code>String</code>, so for example I can write that to a log file.</p>

<p>What is the easiest way to take the <code>InputStream</code> and convert it to a <code>String</code>?</p>

<pre><code>public String convertStreamToString(InputStream is) {
    // ???
}
</code></pre>
","16616","Johnny Maelstrom","63550","","2019-01-05 10:28:26","2020-04-05 00:03:47","How do I read / convert an InputStream into a String in Java?","<java><string><io><stream><inputstream>","59","0","1193","","","CC BY-SA 4.0","309424","17","17","java","1715860","3624966","3607018"
"271526","1","271874","","2008-11-07 08:31:40","","4081","1267072","<p>I use <code>object != null</code> a lot to avoid <a href=""https://docs.oracle.com/javase/9/docs/api/java/lang/NullPointerException.html"" rel=""noreferrer""><code>NullPointerException</code></a>.</p>
<p>Is there a good alternative to this?</p>
<p>For example I often use:</p>
<pre class=""lang-java prettyprint-override""><code>if (someobject != null) {
    someobject.doCalc();
}
</code></pre>
<p>This checks for a <code>NullPointerException</code> for the <code>someobject</code> object in the above snippet.</p>
<p>Note that the accepted answer may be out of date, see <a href=""https://stackoverflow.com/a/2386013/12943"">https://stackoverflow.com/a/2386013/12943</a> for a more recent approach.</p>
","34856","Goran Martinic","11880324","cletus","2020-08-17 13:56:41","2020-08-17 13:56:41","How to avoid null checking in Java?","<java><object><nullpointerexception><null>","62","30","1492","","2011-10-21 09:02:37","CC BY-SA 4.0","271526","17","17","java","1715860","3624966","3607018"
"40471","1","40878","","2008-09-02 20:12:00","","3806","1556583","<p>What are the differences between a <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/HashMap.html"" rel=""noreferrer""><code>HashMap</code></a> and a <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/Hashtable.html"" rel=""noreferrer""><code>Hashtable</code></a> in Java?</p>

<p>Which is more efficient for non-threaded applications?</p>
","4316","dmanxiii","1063716","Dave L.","2020-08-01 11:19:23","2020-09-15 20:28:43","What are the differences between a HashMap and a Hashtable in Java?","<java><collections><hashmap><hashtable>","35","2","1320","","","CC BY-SA 4.0","40471","17","17","java","1715860","3624966","3607018"
"13375357","1","13375461","","2012-11-14 08:34:01","","3678","315871","<p>I was looking at the new APIs introduced in <a href=""http://en.wikipedia.org/wiki/Android_version_history#Android_4.1.2F4.2_Jelly_Bean"" rel=""noreferrer"">Android 4.2</a>.
While looking at the <a href=""http://developer.android.com/reference/android/os/UserManager.html"" rel=""noreferrer""><code>UserManager</code></a> class I came across the following method:</p>

<blockquote>
<pre><code>public boolean isUserAGoat()
</code></pre>
  
  <p>Used to determine whether the user making this call is subject to teleportations.</p>
  
  <p>Returns whether the user making this call is a goat.</p>
</blockquote>

<p>How and when should this be used?</p>
","542091","","6634591","","2018-09-07 08:21:54","2020-01-23 13:32:34","Proper use cases for Android UserManager.isUserAGoat()?","<java><android><usermanager>","11","5","628","","","CC BY-SA 4.0","13375357","17","17","java","1715860","3624966","3607018"
"8710619","1","8710685","","2012-01-03 10:10:32","","3678","293297","<p>Until today, I thought that for example:</p>

<pre><code>i += j;
</code></pre>

<p>Was just a shortcut for:</p>

<pre><code>i = i + j;
</code></pre>

<p>But if we try this:</p>

<pre><code>int i = 5;
long j = 8;
</code></pre>

<p>Then <code>i = i + j;</code> will not compile but <code>i += j;</code> will compile fine.</p>

<p>Does it mean that in fact <code>i += j;</code> is a shortcut for something like this
<code>i = (type of i) (i + j)</code>?</p>
","1127571","","9012424","","2018-09-11 07:37:37","2020-04-09 10:54:12","Why don't Java's +=, -=, *=, /= compound assignment operators require casting?","<java><casting><operators><variable-assignment><assignment-operator>","11","11","731","","","CC BY-SA 4.0","8710619","17","17","java","1715860","3624966","3607018"
"157944","1","157950","","2008-10-01 14:38:32","","3653","1516498","<p>I have an array that is initialized like:</p>

<pre><code>Element[] array = {new Element(1), new Element(2), new Element(3)};
</code></pre>

<p>I would like to convert this array into an object of the <a href=""https://docs.oracle.com/en/java/javase/11/docs/api/java.base/java/util/ArrayList.html"" rel=""noreferrer""><code>ArrayList</code></a> class.</p>

<pre><code>ArrayList&lt;Element&gt; arraylist = ???;
</code></pre>
","939","Ron Tuffin","4825845","","2020-01-31 05:25:54","2020-09-24 11:37:58","Create ArrayList from array","<java><arrays><arraylist><type-conversion>","38","4","633","","","CC BY-SA 4.0","157944","17","17","java","1715860","3624966","3607018"
"363681","1","","","2008-12-12 18:20:57","","3580","4157328","<p>How do I generate a random <code>int</code> value in a specific range?</p>

<p>I have tried the following, but those do not work:</p>

<p><strong>Attempt 1:</strong></p>

<pre><code>randomNum = minimum + (int)(Math.random() * maximum);
// Bug: `randomNum` can be bigger than `maximum`.
</code></pre>

<p><strong>Attempt 2:</strong></p>

<pre><code>Random rn = new Random();
int n = maximum - minimum + 1;
int i = rn.nextInt() % n;
randomNum =  minimum + i;
// Bug: `randomNum` can be smaller than `minimum`.
</code></pre>
","42155","","63550","mmyers","2019-01-05 10:13:34","2020-08-22 19:52:49","How do I generate random integers within a specific range in Java?","<java><random><integer>","66","2","1083","","","CC BY-SA 4.0","363681","17","17","java","1715860","3624966","3607018"
